,elements,papername,author,year,state,charge,defect,Ed,title,doi,measurement_technique,defectID,Ed_a,Ed_h,dEd_h,isbn,comments,k,sample.growth,sample.dopant,sample.incorporation,sigma_ha,sigma_ea,dEd_a,e_h,sample.resistivity,measurement_details.Ur,measurement_data.T,measurement_data.e,sigma_h,dsigma_e,sigma_e,measurement_details.T,measurement_details.tp,dEd,dk,measurement_details.single_shot,dsigma_ea,issn,linked,c_e,c_h,e_e,measurement_details.Up,measurement_details.Rw,dsigma_ha,dsigma_h,measurement_details.low_field
896,['Au'],taft1954,taft,1954,['s'],d,Au_s,Ev+0.33,Gold as a Donor in Silicon,10.1103/PhysRev.93.64,Resistivity,Au_sd_taft1954_1954_Ev+0.33,,,,,Doped different samples with different amounts of gold. This is a thermal activation energy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,['Au'],newman1954,newman,1954,['s'],d,Au_s,Ev+0.325,Photoconductivity in Gold-Doped Silicon,10.1103/PhysRev.94.1530,PC-S,Au_sd_newman1954_1954_Ev+0.325,,,,,Same samples as Taft1954. Potentiall saw a level at Ev+0.7.,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,
781,['B'],fan1956,fan,1956,[''],,B_,Ev+0.046,Infra-red Absorption in Semiconductors,10.1088/0034-4885/19/1/304,"review, infrared absorption",B__fan1956_1956_Ev+0.046,,,,,"Agrees well with thermal values of 0.045 eV. Data showed a broad peak, so the hydrogenic model was used. The integrated absorption cross sections for these excitation bands differ considerably from those for the hydrogenic model.",,,,,,,,,,,,,,,,,,,,,,,B_s_a.srh,,,,,,,,
131,['Al'],fan1956,fan,1956,[''],,Al_,Ev+0.067,Infra-red Absorption in Semiconductors,10.1088/0034-4885/19/1/304,"review, infrared absorption",Al__fan1956_1956_Ev+0.067,,,,,The ionization energy was estimated using the observed excitation band of highest energy. Higher than thermal value of Ev+0.057,,,,,,,,,,,,,,,,,,,,,,,Al_s_a.srh,,,,,,,,
669,['Mn'],carlson1956,carlson,1956,[''],,Mn_,Ec-0.53,Properties of Silicon Doped with Manganese,10.1103/PhysRev.104.937,"Hall, R-T, PC-S",Mn__carlson1956_1956_Ec-0.53,,,,,Shows electron traps.,,CZ,boron,ion implantation,,,,,50-100,,,,,,,,,0.03,,,,,,,,,,,,,
459,['In'],blakemore1956,blakemore,1956,[''],,In_,None,Photoconductivity in Indium-Doped Silicon,,PC-S,In__blakemore1956_1956_None,,,,,"Points to the strange temperature coefficient. Maybe be due to a) iononisation of defects, b) recombination through higher excited Indium states and this would not be detected by PC.",,,,,,,,,,,,,1e-13*exp(0.055/kT),,,"77.5K, 90K, 90K",,,,,,,In_s_a.srh,,,,,,,,
187,['Ga'],fan1956,fan,1956,[''],,Ga_,Ev+0.071,Infra-red Absorption in Semiconductors,10.1088/0034-4885/19/1/304,"review, infrared absorption",Ga__fan1956_1956_Ev+0.071,,,,,The ionization energy was estimated using the observed excitation band of highest energy. Higher than thermal value of Ev+0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,['In'],fan1956,fan,1956,[''],,In_,Ev+0.16,Infra-red Absorption in Semiconductors,10.1088/0034-4885/19/1/304,"review, infrared absorption",In__fan1956_1956_Ev+0.16,,,,,The ionization energy was estimated using the observed excitation band of highest energy. Good agreement with the thermal value of Ev+0.16. This turned out to be an acceptor level,,,,,,,,,,,,,,,,,,,,,,,In_s_a.srh,,,,,,,,
959,['Zn'],carlson1957,carlson,1957,['s'],aa,Zn_s,Ec-0.55,Double-Acceptor Behavior of Zinc in Silicon,10.1103/PhysRev.108.1390,Hall,Zn_saa_carlson1957_1957_Ec-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,['Fe'],collins1957a,collins,1957,['i'],d,Fe_i,Ev+0.4,Properties of Silicon Doped with Iron or Copper,10.1103/PhysRev.108.1409,"Hall, LS",Fe_id_collins1957a_1957_Ev+0.4,,,,,capture cross sections from lifetime data.,,,,,,,,,,,,,3e-16,,,,,,,,,,,,,,,,,,
1044,['Fe'],collins1957a,collins,1957,[''],,Fe_,Ec-0.55,Properties of Silicon Doped with Iron or Copper,10.1103/PhysRev.108.1409,Hall,Fe__collins1957a_1957_Ec-0.55,,,,,Quenched n and p-type silicon. Did not see resistivity change in n-type. The defect was observed to switch between two levels. This was confirmed with photoconductance data from Dash. The other level was Ec-0.55,,FZ,,melt,,,,,,,,,,,,,,,,,,,FeB_i-s_d.srh,,,,,,,,
802,"['B', 'Fe']",collins1957a,collins,1957,"['', '']",,B_Fe_,Ec-0.55,Properties of Silicon Doped with Iron or Copper,10.1103/PhysRev.108.1409,Hall,B_Fe__collins1957a_1957_Ec-0.55,,,,,Quenched n and p-type silicon. Did not see resistivity change in n-type.,,FZ,,melt,,15e-16,,,,,,,,,,,,,,,,,FeB_i-s_a.srh,,,,,,,,
879,['Au'],collins1957,collins,1957,['s'],a,Au_s,Ec-0.54,Properties of Gold-Doped Silicon,10.1103/PhysRev.105.1168,Hall,Au_sa_collins1957_1957_Ec-0.54,,,,,Notes both level occur with approximately the same number of defects,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
276,['Cu'],collins1957a,collins,1957,['s'],a,Cu_s,Ev+0.49,Properties of Silicon Doped with Iron or Copper,10.1103/PhysRev.108.1409,Hall,Cu_sa_collins1957a_1957_Ev+0.49,,,,,"Copper was hard to manage as it precipiates. They saw two additional levels Ec-0.23 and Ev+0.45, but believe it was due to contaminants in the copper.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,['Au'],collins1957,collins,1957,['s'],d,Au_s,Ev+0.35,Properties of Gold-Doped Silicon,10.1103/PhysRev.105.1168,Hall,Au_sd_collins1957_1957_Ev+0.35,,,,,Notes both level are in the same number,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
946,['Zn'],carlson1957,carlson,1957,['s'],a,Zn_s,Ev+0.32,Double-Acceptor Behavior of Zinc in Silicon,10.1103/PhysRev.108.1390,Hall,Zn_sa_carlson1957_1957_Ev+0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,['Cu'],collins1957a,collins,1957,['s'],d,Cu_s,Ev+0.24,Properties of Silicon Doped with Iron or Copper,10.1103/PhysRev.108.1409,Hall,Cu_sd_collins1957a_1957_Ev+0.24,,,,,"Copper was hard to manage as it precipiates. They saw two additional levels Ec-0.23 and Ev+0.45, but believe it was due to contaminants in the copper.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,['Au'],bemski1958,bemski,1958,['s'],d,Au_s,None,Recombination Properties of Gold in Silicon,10.1103/PhysRev.111.1515,LS-DINT,Au_sd_bemski1958_1958_None,,,,,200 - 500K,,,,,,,,,,,,,1.00E-13,,3.5e-15*(T/300)**(-2.5),,,,,,,,,,,,,,,,
461,['In'],wertheim1958,wertheim,1958,[''],,In_,None,Transient Recombination of Excess Carriers in Semiconductors,10.1103/PhysRev.109.1086,LS-T,In__wertheim1958_1958_None,,,,,"Was not sure what the defect is, but it is in indium doped Silicon. This turned out to be an acceptor level",,,,,,,,,,,,,1.5e-9*T**(-2),,1.1e-14*T**(-1),,,,,,,,In_s_a.srh,,,,,,,,
880,['Au'],bemski1958,bemski,1958,['s'],a,Au_s,None,Recombination Properties of Gold in Silicon,10.1103/PhysRev.111.1515,LS-DINT,Au_sa_bemski1958_1958_None,,,,,200 - 500K,,,,,,,,,,,,,1E-15*(T/300)**(-4),,5E-16 * T**(0),,,,,,,,,,,,,,,,
899,['Au'],davis1959,davis,1959,['s'],d,Au_s,None,Lifetimes and Capture Cross Sections in Gold-Doped Silicon,10.1103/PhysRev.114.1006,LS,Au_sd_davis1959_1959_None,,,,,77K. ,,,,,,,,,,,,,2.00E-15,,1.00E-13,,,,,,,,,,,,,,,,
881,['Au'],davis1959,davis,1959,['s'],a,Au_s,None,Lifetimes and Capture Cross Sections in Gold-Doped Silicon,10.1103/PhysRev.114.1006,LS,Au_sa_davis1959_1959_None,,,,,77K. ,,,,,,,,,,,,,1.00E-13,,2.00E-15,,,,,,,,,,,,,,,,
900,['Au'],fairfield1965,fairfield,1965,['s'],d,Au_s,None,Gold as a recombination centre in silicon,10.1016/0038-1101(65)90036-5,LS-DN,Au_sd_fairfield1965_1965_None,,,,,300 K,,,,,,,,,,,,,0.000000024/1.688e7,0.000000063*.25/2.046e7,0.000000063/2.046e7,,,,,,,,,,,,,,,0.000000024*.5/1.688e7,
882,['Au'],fairfield1965,fairfield,1965,['s'],a,Au_s,None,Gold as a recombination centre in silicon,10.1016/0038-1101(65)90036-5,LS-DN,Au_sa_fairfield1965_1965_None,,,,,Values at 300 K,,,,,,,,,,,,,0.000000115/1.688e7,0.00000000165*0.15/20460000,1.65e-9/20460000,,,,,,,,,,,,,,,0.000000115*0.3/1.688e7,
859,['Au'],sah1967_1,sah,1967,[''],a,Au_,None,Recombination Properties of the Gold Acceptor Level in Silicon using the Impurity Photovoltaic Effect,10.1103/PhysRevLett.19.71,"DLTS, DC-TI",Au_a_sah1967_1_1967_None,Ev+0.54723,,,,Thermal emission rate of holes: 1.17e12(T/300)^2*exp(-0.54723/kT). Capture rates are also provided,,,,,,,0.00217,,,,,,,,,,,,,,,,Au_s_a.srh,,,,,,,,
871,['Au'],sah1967,sah,1967,[''],d,Au_,None,Recombination Properties of the Gold Acceptor Level in Silicon using the Impurity Photovoltaic Effect,10.1103/PhysRevLett.19.71,"DLTS, DC-TI",Au_d_sah1967_1967_None,Ec-0.345,,,,Thermal emission rate of electrons: 2.43e13(T/300)^2*exp(-0.350/kT). Capture rates are also provided,,,,,,,0.0029,,,,,,,,,,,,,,,,,,,,,,,,
858,['Au'],sah1967,sah,1967,[''],a,Au_,None,Recombination Properties of the Gold Acceptor Level in Silicon using the Impurity Photovoltaic Effect,10.1103/PhysRevLett.19.71,"DLTS, DC-TI",Au_a_sah1967_1967_None,Ec-0.58981,,,,Thermal emission rate of electrons: 5.23e11(T/300)^2*exp(-0.58981/kT). Capture rates are also provided,,,,,,,0.00215,,,,,,,,,,,,,,,,,,,,,,,,
1094,['Fe'],schibli1968_1,schibli,1968,[''],d,Fe_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,Fe_d_schibli1968_1_1968_None,,,,,250-350 K,,,,,,,,,,,,,7.00E-16,,,,,,,,,,,,,,,,,,
450,['In'],schibli1968_4,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_4_1968_None,,,,,"16-60K,the thermal velocity assumed here is incorrect",,,,,,,,,,,,,,,8E-015/1e7,,,,,,,,,,,,,,,,
449,['In'],schibli1968_3,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_3_1968_None,,,,,"30 K, the thermal velocity assumed here is incorrect",,,,,,,,,,,,,,,,,,,,,,,,0.000000000002*exp(0.035/kT),,,,,,,
947,['Zn'],schibli1968,schibli,1968,['s'],a,Zn_s,Ev+0.31,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,Zn_sa_schibli1968_1968_Ev+0.31,,,,,"80-200 K, could not find original paper",,,,,,,,,,,,,1.00E-13,,1.00E-15,,,,,,,,,,,,,,,,
1152,['W'],schibli1968,schibli,1968,[''],aa,W_,Ec-0.3,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,W_aa_schibli1968_1968_Ec-0.3,,,,,,,,,,,,,,,,,,,,6.00E-17,,,,,,,,,,,,,,,,
949,['Zn'],schibli1968_2,schibli,1968,['s'],a,Zn_s,Ev+0.31,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,Zn_sa_schibli1968_2_1968_Ev+0.31,,,,,"80-200 K, could not find original paper",,,,,,,,,,,,,1.00E-14,,5.00E-16,,,,,,,,,,,,,,,,
448,['In'],schibli1968_2,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_2_1968_None,,,,,80 K,,,,,,,,,,,,,,,4E-022 * (T/80)**-3,,,,,,,,,,,,,,,,
1164,['W'],schibli1968,schibli,1968,[''],aaa,W_,Ec-0.22,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,W_aaa_schibli1968_1968_Ec-0.22,,,,,Two time constants of emission observed for this level,,,,,,,,,,,,,,2e-16,8.00E-16,,,,,,,,,,,,,,,,
447,['In'],schibli1968_12,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_12_1968_None,,,,,"77 K,the thermal velocity assumed here is incorrect",,,,,,,,,,,,,,,,,,,,,,,,,0.000001*exp(0.055/kT)/exp(0.055/k/77),,,,,,
446,['In'],schibli1968_11,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_11_1968_None,,,,,78 K,,,,,,,,,,,,,1.50E-06,,,,,,,,,,,,,,,,,,
948,['Zn'],schibli1968_1,schibli,1968,['s'],a,Zn_s,Ev+0.31,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,Zn_sa_schibli1968_1_1968_Ev+0.31,,,,,"77 K, could not find original paper",,,,,,,,,,,,,3.00E-14,,,,,,,,,,,,,,,,,,
453,['In'],schibli1968_7,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_7_1968_None,,,,,77 K,,,,,,,,,,,,,7.00E-14,,7.00E-19,,,,,,,,,,,,,,,,
264,['Cu'],schibli1968,schibli,1968,[''],d,Cu_,Ev+0.24,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,Cu_d_schibli1968_1968_Ev+0.24,,,,,,,,,,,,,,,,,,3.50E-20,,,,,,,,,,,,,,,,,,
1167,['W'],schibli1968,schibli,1968,[''],a,W_,Ec-0.37,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,W_a_schibli1968_1968_Ec-0.37,,,,,,,,,,,,,,,,,,,,2.50E-18,,,,,,,,,,,,,,,,
454,['In'],schibli1968_8,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_8_1968_None,,,,,77 K,,,,,,,,,,,,,7.00E-14,,1.00E-18,,,,,,,,,,,,,,,,
445,['In'],schibli1968_10,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_10_1968_None,,,,,77 K,,,,,,,,,,,,,3.00E-06,,,,,,,,,,,,,,,,,1e-06,
88,['P'],schibli1968_1,schibli,1968,[''],d,P_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,P_d_schibli1968_1_1968_None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,['Fe'],schibli1968,schibli,1968,[''],d,Fe_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,Fe_d_schibli1968_1968_None,,,,,250-350 K,,,,,,,,,,,,,3.00E-16,,1.50E-15,,,,,,,,,,,,,,,,
444,['In'],schibli1968_1,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_1_1968_None,,,,,> 125 K,,,,,,,,,,,,,1.00E-18,,1.00E-19,,,,,,,,,,,,,,,,
87,['P'],schibli1968,schibli,1968,[''],d,P_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,P_d_schibli1968_1968_None,,,,,,,,,,,,,,,,,,2.00E-14,,8.00E-12,,,,,,,,,,,,,,,,
960,['Zn'],schibli1968,schibli,1968,['s'],aa,Zn_s,Ec-0.55,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,Zn_saa_schibli1968_1968_Ec-0.55,,,,,"90-200 K, could not find original paper",,,,,,,,,,,,,,,1.00E-16,,,,,,,,,,,,,,,,
961,['Zn'],schibli1968_1,schibli,1968,['s'],aa,Zn_s,Ec-0.55,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,Zn_saa_schibli1968_1_1968_Ec-0.55,,,,,"80 K, could not find original paper",,,,,,,,,,,,,,,1.00E-18,,,,,,,,,,,,,,,,
443,['In'],schibli1968,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_1968_None,,,,,300 K,,,,,,,,,,,,,0.000000000000017*(T/300)**(-2),,3.7E-017*(T/300)**(-1),,,,,,,,,,,,,,,,
962,['Zn'],schibli1968_2,schibli,1968,['s'],aa,Zn_s,Ec-0.55,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,Zn_saa_schibli1968_2_1968_Ec-0.55,,,,,"100-300 K, could not find original paper",,,,,,,,,,,,,,4.950000000000001e-19,5.05E-19,,,,,,,,,,,,,,,,
455,['In'],schibli1968_9,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_9_1968_None,,,,,"25-30 K,the thermal velocity assumed here is incorrect",,,,,,,,,,,,,,,0.000000000000015/1e7,,,,,,,,,,,,,,,,
780,['B'],schibli1968,schibli,1968,[''],a,B_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,review,B_a_schibli1968_1968_None,,,,,,,,,,,,,,,,,,8.00E-12,,2.00E-14,,,,,,,,,,,,,,,,
452,['In'],schibli1968_6,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_6_1968_None,,,,,77 K,,,,,,,,,,,,,1.00E-13,,9E-017*(T/77)**(-1.3),,,,,,,,,,,,,,,,
451,['In'],schibli1968_5,schibli,1968,[''],a,In_,None,Lifetime and capture cross-section studies of deep impurities in silicon,10.1016/0025-5416(68)90036-0,LS,In_a_schibli1968_5_1968_None,,,,,"1.1-4.2K,the thermal velocity assumed here is incorrect",,,,,,,,,,,,,,,0.00000008/1e7,,,,,,,,,,,,,,,,
928,['Au'],sah1969,sah,1969,[''],,Au_,None,Thermal emission rates of carriers at gold centers in silicon,10.1063/1.1652943,DLTS,Au__sah1969_1969_None,Ec-0.54723,,,,,,,,,,,0.00217,,,,,,,,,,,,,,,,,,,,,,,,
872,['Au'],sah1969,sah,1969,[''],d,Au_,None,Thermal emission rates of carriers at gold centers in silicon,10.1063/1.1652943,DLTS,Au_d_sah1969_1969_None,Ev+0.345,,,,,,,,,,,0.0029,,,,,,,,,,,,,,,,Au_s_d.srh,,,,,,,,
860,['Au'],sah1969,sah,1969,[''],a,Au_,None,Thermal emission rates of carriers at gold centers in silicon,10.1063/1.1652943,DLTS-Mo,Au_a_sah1969_1969_None,Ev+0.58989,,,,,,,,,,,0.00215,,,,,,,,,,,,,,,,Au_s_a.srh,,,,,,,,
873,['Au'],sato1970,sato,1970,[''],d,Au_,None,Measurements of the Thermal-Emission Rates of Electrons and Holes at the Gold Centers in Silicon Using the Small-Signal-Pulsed Field Effect,10.1063/1.1658432,DLTS,Au_d_sato1970_1970_None,Ev+0.34,,,,,,,,,,,,,,,,,,,,180 K,,,,,,,Au_s_d.srh,,,,,,,,
861,['Au'],sato1970,sato,1970,[''],a,Au_,None,Measurements of the Thermal-Emission Rates of Electrons and Holes at the Gold Centers in Silicon Using the Small-Signal-Pulsed Field Effect,10.1063/1.1658432,DLTS,Au_a_sato1970_1970_None,Ec-0.54,,,,,,,,,,,,,,,,,,,,250K,,,,,,,Au_s_a.srh,,,,,,,,
396,['Ag'],yau1971,yau,1971,[''],a,Ag_,None,Thermal ionization rates and energies of electrons and holes at silver centers in silicon,10.1002/pssa.2210060225,DLTS,Ag_a_yau1971_1971_None,Ec-0.538,,,,measurement data taken from laplace DLTS database,,,"boron, phosphorus",thermal,,,0.006,,,,"222,239,258.7,281.8","1,10,100,1000",,,,,,,,,,,,,,,,,,,
383,['Ag'],yau1971,yau,1971,[''],d,Ag_,None,Thermal ionization rates and energies of electrons and holes at silver centers in silicon,10.1002/pssa.2210060225,DLTS,Ag_d_yau1971_1971_None,Ev+0.370,,,,Values are the T^2 energies,,,"boron, phosphorus",thermal,,,0.004,,,,"145.5,156.4,169.1,183.9","1,10,100,1000",,,,,,,,,,,Ag_s_d.srh,,,,,,,,
374,['Si'],chan1971,chan,1971,[''],,Si_,None,Defect Centers in BoronÀ_óImplanted Silicon,10.1063/1.1659853,DLTS,Si__chan1971_1971_None,Ec-0.241,,,,Out at 873 K. Believe defects are crystal defects rather than boron related.,,CZ,phosphorus,Boron ion implantation,,,0.008,,4,,,,,,,,,,,,,,,,,,,,,,
375,['Si'],chan1971_1,chan,1971,[''],,Si_,None,Defect Centers in BoronÀ_óImplanted Silicon,10.1063/1.1659853,DLTS,Si__chan1971_1_1971_None,Ec-0.558,,,,Out at 873 K. Believe defects are crystal defects rather than boron related.,,CZ,phosphorus,Boron ion implantation,,,0.006,,4,,,,,,,,,,,,,,,,,,,,,,
815,['S'],rosier1971,rosier,1971,['s'],dd,S_s,None,Thermal emission and capture of electrons at sulfur centers in silicon,10.1016/0038-1101(71)90047-5,"DLTS, DC-TI",S_sdd_rosier1971_1971_None,Ec-0.53,,,,Thermal emission rate of: 1.03e12(T/300)^2. Capture rates are also provided,,CZ,phosphorus,thermal,,,0.02,,5,,,,,,,,,,,,,,,,,,,,,,
810,['S'],rosier1971,rosier,1971,['s'],d,S_s,None,Thermal emission and capture of electrons at sulfur centers in silicon,10.1016/0038-1101(71)90047-5,"DLTS, DC-TI",S_sd_rosier1971_1971_None,Ec-0.275,,,,Thermal emission rate of: 1.63e10(T/300)^2. Capture rates are also provided,,CZ,phosphorus,thermal,,,0.015,,5,,,,,,,,,,,,,,,,,,,,,,
818,['Co'],yau1972a,yau,1972,[''],d,Co_,None,"Measurement of trapped-minority-carrier thermal emission rates from Au, Ag, and Co traps in silicon",10.1063/1.1654324,DLTS-Mo,Co_d_yau1972a_1972_None,,,,,,,,"boron, phosphorus",thermal,,,,4.43e13 * exp(-0.377/kT),,,,,,,,,,,,,,,Co_s_d.srh,,,,,,,,
397,['Ag'],yau1972,yau,1972,[''],a,Ag_,None,Thermal emission rates and activation energies of electrons and holes at silver centers in silicon,10.1002/pssa.2210130214,"DLTS, TS-C",Ag_a_yau1972_1972_None,Ec-0.544,,,,,,,"boron, phosphorus",thermal,,,0.002,,,,,,,,,,,,,,,,Ag_s_a.srh,,,0.301e13 * (T/300)**2 * exp(-0.544/kT),,,,,
825,['Co'],yau1972a,yau,1972,[''],a,Co_,None,"Measurement of trapped-minority-carrier thermal emission rates from Au, Ag, and Co traps in silicon",10.1063/1.1654324,DLTS-Mo,Co_a_yau1972a_1972_None,,,,,,,,"boron, phosphorus",thermal,,,,,,,,,,,,,,,,,,,Co_s_a.srh,,,2.59e12 * exp(-0.569/kT),,,,,
963,['Zn'],herman1972,herman,1972,['s'],aa,Zn_s,None,Thermal Ionization Rates and Energies of Holes at the Double acceptor zinc centers in silicon,10.1002/pssa.2210140203,"TS-I, DLTS",Zn_saa_herman1972_1972_None,Ev+0.574,,,,providing the e/T^2 energy level. Done at high electric fields.,,,boron,thermal,,,0.001,1.41e11 * (T/300)**(-2)* exp(-0.574/kT),,,,,,,,,,,,,,,,,,,,,,,
964,['Zn'],sklensky1972,sklensky,1972,['s'],aa,Zn_s,Ec-0.51-3.5e-4*T,Photoelectronic Properties of Zinc Impurity in Silicon centers in silicon,10.1103/PhysRevB.6.1328,"PC-S,TS-I, LS-TM, Hall",Zn_saa_sklensky1972_1972_Ec-0.51-3.5e-4*T,,,,,,,FZ,phosphorus,thermal,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,['Ag'],yau1972,yau,1972,[''],d,Ag_,None,Thermal emission rates and activation energies of electrons and holes at silver centers in silicon,10.1002/pssa.2210130214,"DLTS, TS-C",Ag_d_yau1972_1972_None,Ev+0.378,,,,,,,"boron, phosphorus",thermal,,,0.002,2.6e13 * (T/300)**2 * exp(-0.378/kT),,,,,,,,,,,,,,,Ag_s_d.srh,,,,,,,,
951,['Zn'],sklensky1972,sklensky,1972,['s'],a,Zn_s,Ev+0.31,Photoelectronic Properties of Zinc Impurity in Silicon centers in silicon,10.1103/PhysRevB.6.1328,"PC-S,TS-I, LS-TM, Hall",Zn_sa_sklensky1972_1972_Ev+0.31,,,,,,,FZ,phosphorus,thermal,,,,,,,,,,,1e-20*(1+ 90*exp(-0.040/kT)),,,,,,,,,,,,,,,,
950,['Zn'],herman1972,herman,1972,['s'],a,Zn_s,None,Thermal Ionization Rates and Energies of Holes at the Double acceptor zinc centers in silicon,10.1002/pssa.2210140203,"TS-I, DLTS",Zn_sa_herman1972_1972_None,Ev+0.297,,,,Provided the e/T^2 energy level.,,,boron,thermal,,,0.001,6.78e12 * (T/300)**(-2)* exp(-0.297/kT),,,,,,,,,,,,,,,,,,,,,,,
763,"['B', 'Zn']",herman1972,herman,1972,"['', '']",a,B_Zn_,None,Thermal Ionization Rates and Energies of Holes at the Double acceptor zinc centers in silicon,10.1002/pssa.2210140203,"DLTS, DC-T",B_Zn_a_herman1972_1972_None,Ev+0.167,,,,,,,"boron, phosphorus",thermal,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,['Au'],milnes1973,milnes,1973,['s'],d,Au_s,Ev+0.35,Deep impurities in semiconductors,,review,Au_sd_milnes1973_1973_Ev+0.35,,,,978-0-471-60670-3,Figure 2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,['Hg'],milnes1973_1,milnes,1973,[''],d,Hg_,Ev+0.25,Deep impurities in semiconductors,,review,Hg_d_milnes1973_1_1973_Ev+0.25,,,,978-0-471-60670-3,Figure 2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,['Ni'],milnes1973,milnes,1973,['s'],aa,Ni_s,Ec-0.35,Deep impurities in semiconductors,,review,Ni_saa_milnes1973_1973_Ec-0.35,,,,978-0-471-60670-3,Figure 2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,['O'],milnes1973,milnes,1973,[''],d,O_,Ec-0.16,Deep impurities in semiconductors,,review,O_d_milnes1973_1973_Ec-0.16,,,,978-0-471-60670-3,Figure 2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,['Fe'],milnes1973,milnes,1973,[''],d,Fe_,Ev+0.4,Deep impurities in semiconductors,,review,Fe_d_milnes1973_1973_Ev+0.4,,,,978-0-471-60670-3,"Figure 2.1, suggested is interstitial",,,,,,,,,,,,,,,,,,,,,,,Fe_i_d.srh,,,,,,,,
1153,['W'],milnes1973,milnes,1973,[''],aa,W_,Ec-0.30,Deep impurities in semiconductors,,review,W_aa_milnes1973_1973_Ec-0.30,,,,978-0-471-60670-3,Figure 2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,['W'],milnes1973,milnes,1973,[''],d,W_,Ev+0.34,Deep impurities in semiconductors,,review,W_d_milnes1973_1973_Ev+0.34,,,,978-0-471-60670-3,Figure 2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
