,elements,papername,author,year,state,charge,defect,Ed,title,doi,measurement_technique,defectID,Ed_a,Ed_h,dEd_h,isbn,comments,k,sample.growth,sample.dopant,sample.incorporation,sigma_ha,sigma_ea,dEd_a,e_h,sample.resistivity,measurement_details.Ur,measurement_data.T,measurement_data.e,sigma_h,dsigma_e,sigma_e,measurement_details.T,measurement_details.tp,dEd,dk,measurement_details.single_shot,dsigma_ea,issn,linked,c_e,c_h,e_e,measurement_details.Up,measurement_details.Rw,dsigma_ha,dsigma_h,measurement_details.low_field
668,['Mn'],lemke1994,lemke,1994,[''],a,Mn_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Mn_a_lemke1994_1994_None,Ec-0.11,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 70K,,FZ,"boron, phosphorus",diffusion,,5e-8/1e7,,,,,,,,,,70.0,,,,,,,Mn_i_a.srh,,,,,,,,
696,['Cr'],nakashima1994,nakashima,1994,['i'],d,Cr_i,None,Diffusion and electrical properties of 3d transition-metal impurity series in silicon,10.4028/www.scientific.net/MSF.143-147.761,DLTS-Cr,Cr_id_nakashima1994_1994_None,,Ec-0.22,,,Measured at 120 K.,,,,,,,,,,,,,,,1.4e-14,,,,,,,,,,,,,,,,
867,['Au'],lemke1994,lemke,1994,[''],a,Au_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Au_a_lemke1994_1994_None,,Ec-0.55,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 300K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,,,1.6e-9/1e7,300.0,,,,,,,,1.6e-09,,,,,,,
1143,['Nb'],lemke1994,lemke,1994,[''],d,Nb_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Nb_d_lemke1994_1994_None,Ec-0.62,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 250K,,FZ,"boron, phosphorus",diffusion,,>1e-8/1e7,,,,,,,,,,250.0,,,,,,,Nb_i_d.srh,,,,,,,,
514,['Pt'],lemke1994,lemke,1994,[''],dd,Pt_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Pt_dd_lemke1994_1994_None,,Ev+0.07,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 65K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,2e-10/1e7,,,65.0,,,,,,,Pt_s_dd.srh,,2e-10,,,,,,
684,['Mn'],lemke1994,lemke,1994,[''],d,Mn_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Mn_d_lemke1994_1994_None,Ec-0.43,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 200K,,FZ,"boron, phosphorus",diffusion,,>5e-8/1e7,,,,,,,,,,200.0,,,,,,,Mn_i_d.srh,,,,,,,,
1097,['Fe'],lemke1994,lemke,1994,[''],d,Fe_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Fe_d_lemke1994_1994_None,,Ev+0.39,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 200K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,3e-10/1e7,,,200.0,,,,,,,Fe_i_d.srh,,3e-10,,,,,,
209,['Rh'],lemke1994,lemke,1994,[''],a,Rh_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Rh_a_lemke1994_1994_None,Ec-0.31,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 150K,,FZ,"boron, phosphorus",diffusion,,>3e-8/1e7,,,,,,,,,,150.0,,,,,,,Rh_s_a.srh,>3e-8,,,,,,,
985,['Ta'],lemke1994,lemke,1994,[''],d,Ta_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ta_d_lemke1994_1994_None,Ec-0.58,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 250K,,FZ,"boron, phosphorus",diffusion,,>7e-8/1e7,,,,,,,,,,250.0,,,,,,,Ta_i_d.srh,>7e-8,,,,,,,
991,['Ta'],lemke1994,lemke,1994,[''],a,Ta_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ta_a_lemke1994_1994_None,,Ec-0.22,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 140K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,,,3e-10/1e7,140.0,,,,,,,Ta_i_a.srh,3e-10,,,,,,,
296,['Cu'],lemke1994,lemke,1994,[''],aa,Cu_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Cu_aa_lemke1994_1994_None,,Ec-0.16,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 100K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,,,1.1e-10/1e7,100.0,,,,,,,Cu_s_aa.srh,1.1e-10,,,,,,,
299,['Cu'],lemke1994,lemke,1994,[''],a,Cu_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Cu_a_lemke1994_1994_None,Ev+0.46,,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 230K,,FZ,"boron, phosphorus",diffusion,>2e-8/1e7,,,,,,,,,,,230.0,,,,,,,Cu_s_a.srh,,>2e-8,,,,,,
405,['Ag'],lemke1994,lemke,1994,[''],a,Ag_,None,Characterization of Transition Metal-Doped Silicon Crystals Prepared by Float Zone Technique,,"DLTS-MeCr, TS-C",Ag_a_lemke1994_1994_None,,Ec-0.55,,978-1-56677-042-2,Assumed thermal velocity of 1e7 measured at 300K,,FZ,"boron, phosphorus",diffusion,,,,,,,,,,,1.3e-9/1e7,300.0,,,,,,,Ag_s_a.srh,1.3e-09,,,,,,,
1085,['Fe'],nakashima1994,nakashima,1994,['i'],d,Fe_i,None,Diffusion and electrical properties of 3d transition-metal impurity series in silicon,10.4028/www.scientific.net/MSF.143-147.761,DLTS,Fe_id_nakashima1994_1994_None,Ev+0.438,Ev+0.40,,,,,FZ,boron,thermal,,,,,10,,,,1.8e-16*exp(-0.038/k/T),,,,,,,,,,,,,,,,,,
