"# instructutions, please also have a look at the readme https://github.com/MK8J/semiconductorDefects/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Elements in compond. Writen without 
Space using elementary notation","The crystal  state of each element in the defect 
I.e I (interstitial), s (substitutional),v (vacancy)
This should be comma seperated",the charge state of this energy level ,The reported energy level,the error in the energy level,The reported activation energy,,The reported enthalpy,,the capture cross section of electrons,the error in sigma_e,the apparent capture cross section of electrons,the error in sigma_ea,the capture cross section of holes,the error in the sigma_h,the apparent capture cross section of holes,the error in the sigma_ha,a reported sigma_e/sigma_h ratio,the error in k,any comments,"the types of substrate dopants used, e.g. boron, phorphous, aluminimunl",The sample resistivity,"how the sample was grown (FZ, CZ)",How the defect was incorporated into the sample,They types of measurements used on the sample,Title of the article,the year published,"unique name for entry, in author year format",the first author surname,the doi of the publication,the isbn of the publication
defect,state,charge,Ed,dEd,Ed_a,dEd_a,Ed_h,dEd_h,sigma_e,dsigma_e,sigma_ea,dsigma_ea,sigma_h,dsigma_h,sigma_ha,dsigma_ha,k,dk,comments,sample.dopant,sample.resistivity,sample.growth,sample.incorporation,measurement_technique,title,year,papername,author,doi,isbn
MnB,"s,i",d,,,Ev+0.55,0.02,,,2.1e-12*T^(-1.6),,,,3.50E-13,,,,6,,,boron,,FZ,ion implantation,"DLTS, LS-IT",Analysis of electrically active defects in silicon for solar cells,2008,roth2008,roth,,"3868530363, 9783868530360"
